date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:10:54	35897/35897	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Feb%202020%2013:25:27%20GMT	https://demo.cocobasic.com/volos-html/	C:/My%20Web%20Sites/amy%20stone/demo.cocobasic.com/volos-html/index.html	(from )
03:10:54	50/50	---MCZ	200	added ('OK')	text/plain	date:Wed,%2015%20Jul%202020%2012:10:56%20GMT	https://demo.cocobasic.com/robots.txt		(from )
03:10:55	318/318	---MCZ	200	added ('OK')	image/x-icon	etag:W/%225e400847-13e%22	https://demo.cocobasic.com/volos-html/images/favicon.ico	C:/My%20Web%20Sites/amy%20stone/demo.cocobasic.com/volos-html/images/favicon.ico	(from https://demo.cocobasic.com/volos-html/)
03:10:57	31419/31419	---MCZ	200	added ('OK')	text/css	etag:W/%225e400847-7abb%22	https://demo.cocobasic.com/volos-html/style.css	C:/My%20Web%20Sites/amy%20stone/demo.cocobasic.com/volos-html/style.css	(from https://demo.cocobasic.com/volos-html/)
03:10:58	78363/78363	---M--	200	added ('OK')	image/gif	etag:%225e400847-1321b%22	https://demo.cocobasic.com/volos-html/images/preloader.gif	C:/My%20Web%20Sites/amy%20stone/demo.cocobasic.com/volos-html/images/preloader.gif	(from https://demo.cocobasic.com/volos-html/)
03:10:58	5445/5445	---M--	200	added ('OK')	image/png	etag:%225e400847-1545%22	https://demo.cocobasic.com/volos-html/images/signature.png	C:/My%20Web%20Sites/amy%20stone/demo.cocobasic.com/volos-html/images/signature.png	(from https://demo.cocobasic.com/volos-html/)
03:10:59	2158/2158	---M--	200	added ('OK')	image/png	etag:%225e400847-86e%22	https://demo.cocobasic.com/volos-html/images/service1.png	C:/My%20Web%20Sites/amy%20stone/demo.cocobasic.com/volos-html/images/service1.png	(from https://demo.cocobasic.com/volos-html/)
03:11:00	3705/3705	---M--	200	added ('OK')	image/png	etag:%225e400847-e79%22	https://demo.cocobasic.com/volos-html/images/service2.png	C:/My%20Web%20Sites/amy%20stone/demo.cocobasic.com/volos-html/images/service2.png	(from https://demo.cocobasic.com/volos-html/)
03:11:02	2425/2425	---M--	200	added ('OK')	image/png	etag:%225e400847-979%22	https://demo.cocobasic.com/volos-html/images/service3.png	C:/My%20Web%20Sites/amy%20stone/demo.cocobasic.com/volos-html/images/service3.png	(from https://demo.cocobasic.com/volos-html/)
03:11:03	2384/2384	---M--	200	added ('OK')	image/png	etag:%225e400847-950%22	https://demo.cocobasic.com/volos-html/images/service4.png	C:/My%20Web%20Sites/amy%20stone/demo.cocobasic.com/volos-html/images/service4.png	(from https://demo.cocobasic.com/volos-html/)
03:11:04	8872/8872	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Feb%202020%2013:25:27%20GMT	https://demo.cocobasic.com/volos-html/portfolio-1.html	C:/My%20Web%20Sites/amy%20stone/demo.cocobasic.com/volos-html/portfolio-1.html	(from https://demo.cocobasic.com/volos-html/)
03:11:05	53633/53633	---M--	200	added ('OK')	image/jpeg	etag:%225e400847-d181%22	https://demo.cocobasic.com/volos-html/images/portfolio1.jpg	C:/My%20Web%20Sites/amy%20stone/demo.cocobasic.com/volos-html/images/portfolio1.jpg	(from https://demo.cocobasic.com/volos-html/)
03:11:06	8932/8932	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Feb%202020%2013:25:27%20GMT	https://demo.cocobasic.com/volos-html/portfolio-2.html	C:/My%20Web%20Sites/amy%20stone/demo.cocobasic.com/volos-html/portfolio-2.html	(from https://demo.cocobasic.com/volos-html/)
03:11:08	119657/119657	---M--	200	added ('OK')	image/jpeg	etag:%225e400847-1d369%22	https://demo.cocobasic.com/volos-html/images/portfolio2.jpg	C:/My%20Web%20Sites/amy%20stone/demo.cocobasic.com/volos-html/images/portfolio2.jpg	(from https://demo.cocobasic.com/volos-html/)
03:11:08	9254/9254	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Feb%202020%2013:25:27%20GMT	https://demo.cocobasic.com/volos-html/portfolio-3.html	C:/My%20Web%20Sites/amy%20stone/demo.cocobasic.com/volos-html/portfolio-3.html	(from https://demo.cocobasic.com/volos-html/)
03:11:10	76474/76474	---M--	200	added ('OK')	image/jpeg	etag:%225e400847-12aba%22	https://demo.cocobasic.com/volos-html/images/portfolio3.jpg	C:/My%20Web%20Sites/amy%20stone/demo.cocobasic.com/volos-html/images/portfolio3.jpg	(from https://demo.cocobasic.com/volos-html/)
03:11:12	109434/109434	---M--	200	added ('OK')	image/jpeg	etag:%225e400847-1ab7a%22	https://demo.cocobasic.com/volos-html/images/portfolio4.jpg	C:/My%20Web%20Sites/amy%20stone/demo.cocobasic.com/volos-html/images/portfolio4.jpg	(from https://demo.cocobasic.com/volos-html/)
03:11:13	214345/214345	---M--	200	added ('OK')	image/jpeg	etag:%225e400847-34549%22	https://demo.cocobasic.com/volos-html/images/item_03.jpg	C:/My%20Web%20Sites/amy%20stone/demo.cocobasic.com/volos-html/images/item_03.jpg	(from https://demo.cocobasic.com/volos-html/)
03:11:14	56878/56878	---M--	200	added ('OK')	image/jpeg	etag:%225e400847-de2e%22	https://demo.cocobasic.com/volos-html/images/portfolio5.jpg	C:/My%20Web%20Sites/amy%20stone/demo.cocobasic.com/volos-html/images/portfolio5.jpg	(from https://demo.cocobasic.com/volos-html/)
03:11:16	161948/161948	---M--	200	added ('OK')	image/jpeg	etag:%225e400847-2789c%22	https://demo.cocobasic.com/volos-html/images/item_02.jpg	C:/My%20Web%20Sites/amy%20stone/demo.cocobasic.com/volos-html/images/item_02.jpg	(from https://demo.cocobasic.com/volos-html/)
